name,class,mechanism,primary_subtype,contraindicated_complications,recommended_complications,route,monitoring,common_side_effects,ada_first_line,notes
Metformin,Biguanide,Reduces hepatic glucose production and improves insulin sensitivity,metabolic_insulin_resistant,,cardiovascular,oral,"Renal function (eGFR), B12 levels annually","GI upset, diarrhea, B12 deficiency",true,First-line for most T2DM; avoid if eGFR < 30
Empagliflozin,SGLT2 Inhibitor,Blocks glucose reabsorption in kidney; promotes glucosuria,metabolic_insulin_resistant,diabetic_kidney_disease_severe,"cardiovascular,diabetic_kidney_disease",oral,"eGFR, ketones, genital infections","UTI, genital mycotic infections, DKA risk",false,Cardio- and renal-protective; avoid if eGFR < 20
Dapagliflozin,SGLT2 Inhibitor,Blocks glucose reabsorption in kidney; promotes glucosuria,fibrotic_complication,diabetic_kidney_disease_severe,"cardiovascular,diabetic_kidney_disease",oral,"eGFR, ketones","UTI, genital infections, volume depletion",false,Proven kidney and heart failure benefit
Liraglutide,GLP-1 Receptor Agonist,Incretin mimetic; enhances insulin secretion and slows gastric emptying,inflammation_dominant,,"cardiovascular,beta_cell_exhaustion",injection,"Renal function, thyroid (rare MTC risk)","Nausea, vomiting, injection site reactions",false,Weight loss benefit; cardiovascular protection; anti-inflammatory effects
Semaglutide,GLP-1 Receptor Agonist,Incretin mimetic; enhances insulin secretion and reduces appetite,inflammation_dominant,,"cardiovascular,beta_cell_exhaustion",injection/oral,"Renal function, thyroid","Nausea, GI upset, pancreatitis (rare)",false,Superior A1c reduction and weight loss; weekly injection or daily oral
Insulin Glargine,Basal Insulin,Long-acting insulin analogue providing 24h basal coverage,beta_cell_failure,,,injection,"Blood glucose, hypoglycemia episodes, weight","Hypoglycemia, weight gain",false,Essential when beta cell function severely impaired
Insulin Aspart,Rapid-Acting Insulin,Rapid-acting insulin for mealtime glucose control,beta_cell_failure,,,injection,"Blood glucose, hypoglycemia","Hypoglycemia, injection site lipodystrophy",false,Mealtime coverage; use with basal insulin
Pioglitazone,Thiazolidinedione,PPARg agonist; improves insulin sensitivity in adipose and muscle,metabolic_insulin_resistant,cardiovascular_heart_failure,,"oral","Liver function, edema, bone density","Edema, weight gain, fracture risk",false,Good for insulin resistance; avoid in heart failure
Linagliptin,DPP-4 Inhibitor,Prolongs endogenous incretin activity to enhance insulin secretion,mixed,,beta_cell_exhaustion,oral,Minimal monitoring needed,"Nasopharyngitis, headache, joint pain",false,Well-tolerated; no renal adjustment needed; modest A1c reduction
Sitagliptin,DPP-4 Inhibitor,Prolongs endogenous incretin activity to enhance insulin secretion,mixed,,,oral,"Renal function for dose adjustment","Nasopharyngitis, headache, GI upset",false,Good safety profile; reduce dose if eGFR < 45
Canagliflozin,SGLT2 Inhibitor,Blocks glucose reabsorption in kidney,fibrotic_complication,,"diabetic_kidney_disease,cardiovascular",oral,"eGFR, amputations risk (historical)","Genital infections, DKA risk, volume depletion",false,Renal protective in DKD trials
Dulaglutide,GLP-1 Receptor Agonist,Weekly incretin mimetic; beta cell support and appetite reduction,inflammation_dominant,,"cardiovascular,beta_cell_exhaustion",injection,"Renal function, GI tolerability","Nausea, diarrhea, injection site reactions",false,Once-weekly convenience; cardiovascular benefit
Pregabalin,Neuropathic Pain Agent,Calcium channel alpha-2-delta ligand; reduces neuropathic pain signaling,mixed,,neuropathy,oral,"Sedation, renal function","Dizziness, somnolence, weight gain, edema",false,First-line for diabetic peripheral neuropathy pain
Duloxetine,SNRI Antidepressant,Serotonin-norepinephrine reuptake inhibitor; central pain modulation,mixed,,neuropathy,oral,"Liver function, blood pressure","Nausea, dry mouth, dizziness, fatigue",false,FDA-approved for diabetic neuropathic pain
Atorvastatin,Statin,HMG-CoA reductase inhibitor; reduces LDL cholesterol,mixed,,cardiovascular,oral,"Lipid panel, liver enzymes, CK if myalgia","Myalgia, elevated liver enzymes, GI upset",false,Recommended for most diabetic patients with CV risk
Ramipril,ACE Inhibitor,Inhibits angiotensin-converting enzyme; renal and cardiac protection,fibrotic_complication,,"diabetic_kidney_disease,cardiovascular",oral,"Renal function, potassium, blood pressure","Cough, hyperkalemia, hypotension, angioedema",false,Renoprotective in diabetic nephropathy; first-line for HTN in DM
